Categoria,Comentario,Etiqueta
Identificacion del problema,estudiante descontento calidad curso,insatisfaccion laboral de los docentes
Identificacion del problema,tasa retencion disminuir significativamente ano,falta de materiales educativos
Identificacion del problema,satisfaccion estudiante bajo,mala precision en las medidas
Identificacion del problema,curso cumplir expectativa estudiante,Salones de computo optimos
Identificacion del problema,tasa desercion alarmante,descontento con la calidad de los cursos
Manpower (Personal),profesor satisfecho condición laboral,insatisfaccion laboral de los docentes
Manpower (Personal),ausentismo profesor aumentar,falta de materiales educativos
Manpower (Personal),falta personal capacitado universidad,Mala precision en las medidas
Manpower (Personal),profesor quejar carga laboral,Salones de computo optimos
Manpower (Personal),rendimiento docente,descontento con la calidad de los cursos
Method (Metodo),plan estudio actualizar regularmente,insatisfaccion laboral de los docentes
Method (Metodo),resultado examen preocupantemente bajo,falta de materiales educativos
Method (Metodo),metodologia ensenanza efectivo,Mala precision en las medidas
Method (Metodo),falta innovacion metodo ensenanza,Salones de computo optimos
Method (Metodo),estudiante satisfecho metodo evaluacion,descontento con la calidad de los cursos
Machine (Maquina),plataforma aprendizaje linea dificil,insatisfaccion laboral de los docentes
Machine (Maquina),recurso digital insuficiente,falta de materiales educativos
Machine (Maquina),equipo tecnologico obsoleto,Mala precision en las medidas
Machine (Maquina),falta acceso herramienta tecnologica moderno,Salones de computo optimos
Machine (Maquina),estudiante acceso software actualizado,descontento con la calidad de los cursos
Material,suficiente libro texto estudiante,insatisfaccion laboral de los docentes
Material,recurso biblioteca limitar,falta de materiales educativos
Material,falta material educativo calidad,Mala precision en las medidas
Material,estudiante acceso recurso aprendizaje adecuado,Salones de computo optimos
Material,biblioteca suficiente recurso digital,descontento con la calidad de los cursos
Measurement (Medicion),metodo calificacion consistente,insatisfaccion laboral de los docentes
Measurement (Medicion),herramienta recoleccion dato obsoleta,falta de materiales educativos
Measurement (Medicion),Falta precision medicion rendimiento estudiantil,Mala precision en las medidas
Measurement (Medicion),estandar calidad cumplir evaluación,Salones de computo optimos
Measurement (Medicion),universidad sistema medicion eficiente,descontento con la calidad de los cursos
Mother Nature (Entorno),instalación campus,insatisfaccion laboral de los docentes
Mother Nature (Entorno),servicio apoyo estudiante inadecuado,falta de materiales educativos
Mother Nature (Entorno),falta mantenimiento instalación,Mala precision en las medidas
Mother Nature (Entorno),entorno campus seguro,Salones de computo optimos
Mother Nature (Entorno),estudiante satisfecho instalación,descontento con la calidad de los cursos
Identificacion del problema,estudiante descontento calidad curso,insatisfaccion laboral de los docentes
Identificacion del problema,tasa retencion disminuir significativamente ano,falta de materiales educativos
Identificacion del problema,satisfaccion estudiante bajo,Mala precision en las medidas
