Curso,Instrumentos de Calificacion Usados,Herramientas Utilizadas en la Recoleccion de Datos,Precision de Datos Obtenidos (Escala 1-10),Comentario sobre la Precision de Datos
Matematicas,Examenes y Tareas,Google Forms; Moodle,6,La precision de los datos es aceptable pero mejorable.
Historia,Proyectos y Examenes,SurveyMonkey; Blackboard,7,Los datos son precisos y confiables.
Ciencias,Laboratorios y Examenes,Google Forms; Moodle,8,Alta precision en la recoleccion de datos.
Lengua,Examenes y Ensayos,SurveyMonkey; Moodle,6,Precision adecuada pero puede mejorar.
Fisica,Examenes y Practicas,Google Forms; Blackboard,5,Los datos no son suficientemente precisos.
Quimica,Laboratorios y Examenes,SurveyMonkey; Moodle,8,Alta precision en los datos recogidos.
Ingles,Examenes y Presentaciones,Google Forms; Moodle,9,Muy alta precision y fiabilidad de los datos.
Educacion Fisica,Practicas y Examenes,SurveyMonkey; Blackboard,6,Precision adecuada en general.
Arte,Proyectos y Examenes,Google Forms; Moodle,7,Los datos son precisos y utiles.
Tecnologia,Proyectos y Examenes,SurveyMonkey; Moodle,8,Alta precision en la recoleccion de datos.
