Calidad de Instalaciones (Escala 1-10),Servicios de Apoyo (Escala 1-10),Localizacion Principal de los Estudiantes en el Campus,Comentario sobre las Instalaciones y Servicios
6,5,Biblioteca,Las instalaciones son adecuadas pero los servicios de apoyo son limitados.
7,6,Cafeteria,Buenas instalaciones y servicios de apoyo aceptables.
8,7,Laboratorios,Alta calidad de instalaciones y buenos servicios de apoyo.
6,5,Biblioteca,Las instalaciones necesitan mejoras los servicios son basicos.
5,4,Laboratorios,Calidad de instalaciones deficiente y servicios de apoyo insuficientes.
8,8,Laboratorios,Excelentes instalaciones y servicios de apoyo muy buenos.
7,6,Cafeteria,Buenas instalaciones y servicios de apoyo satisfactorios.
6,5,Gimnasio,Instalaciones adecuadas pero servicios de apoyo limitados.
7,6,Biblioteca,Instalaciones y servicios de apoyo aceptables.
8,7,Laboratorios,Alta calidad de instalaciones y servicios de apoyo buenos.
